"","X","Semester","Banyak","namaPT","namaProdi","statusProdi","tanggalBerdiri"
"721",721,"Genap 2010","75","Universitas Krisnadwipayana","Kajian Pembangunan Perkotaan & Wilayah","Aktif","15 November 2006"
"722",722,"Ganjil 2010","83","Universitas Krisnadwipayana","Kajian Pembangunan Perkotaan & Wilayah","Aktif","15 November 2006"
"723",723,"Genap 2009","75","Universitas Krisnadwipayana","Kajian Pembangunan Perkotaan & Wilayah","Aktif","15 November 2006"
"724",724,"Ganjil 2009","72","Universitas Krisnadwipayana","Kajian Pembangunan Perkotaan & Wilayah","Aktif","15 November 2006"
"725",725,"Ganjil 2017","431","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"726",726,"Genap 2016","382","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"727",727,"Ganjil 2016","319","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"728",728,"Genap 2015","271","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"729",729,"Ganjil 2015","316","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"730",730,"Genap 2014","335","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"731",731,"Ganjil 2014","349","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"732",732,"Genap 2013","351","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"733",733,"Ganjil 2013","337","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"734",734,"Genap 2012","370","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"735",735,"Ganjil 2012","316","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"736",736,"Genap 2011","321","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"737",737,"Ganjil 2011","309","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"738",738,"Genap 2010","306","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"739",739,"Ganjil 2010","300","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"740",740,"Genap 2009","303","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"741",741,"Ganjil 2009","267","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","17 Juli 1996"
"742",742,"Ganjil 2017","194","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"743",743,"Genap 2016","297","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"744",744,"Ganjil 2016","319","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"745",745,"Genap 2015","443","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"746",746,"Ganjil 2015","517","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"747",747,"Genap 2014","403","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"748",748,"Ganjil 2014","391","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"749",749,"Genap 2013","291","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"750",750,"Ganjil 2013","280","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"751",751,"Genap 2012","213","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"752",752,"Ganjil 2012","207","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"753",753,"Genap 2011","97","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"754",754,"Ganjil 2011","97","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"755",755,"Genap 2010","92","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"756",756,"Ganjil 2010","99","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"757",757,"Genap 2009","91","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"758",758,"Ganjil 2009","100","Universitas Krisnadwipayana","Teknik Mesin","Aktif","29 Januari 1954"
"759",759,"Ganjil 2017","344","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"760",760,"Genap 2016","298","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"761",761,"Ganjil 2016","377","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"762",762,"Genap 2015","274","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"763",763,"Ganjil 2015","255","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"764",764,"Genap 2014","154","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"765",765,"Ganjil 2014","182","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"766",766,"Genap 2013","151","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"767",767,"Ganjil 2013","177","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"768",768,"Genap 2012","182","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"769",769,"Ganjil 2012","160","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"770",770,"Genap 2011","135","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"771",771,"Ganjil 2011","124","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"772",772,"Genap 2010","52","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"773",773,"Ganjil 2010","54","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"774",774,"Genap 2009","57","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"775",775,"Ganjil 2009","55","Universitas Krisnadwipayana","Ilmu Administrasi Niaga","Aktif","20 September 1956"
"776",776,"Ganjil 2017","256","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"777",777,"Genap 2016","272","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"778",778,"Ganjil 2016","279","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"779",779,"Genap 2015","322","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"780",780,"Ganjil 2015","346","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"781",781,"Genap 2014","274","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"782",782,"Ganjil 2014","284","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"783",783,"Genap 2013","201","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"784",784,"Ganjil 2013","177","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"785",785,"Genap 2012","125","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"786",786,"Ganjil 2012","113","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"787",787,"Genap 2011","85","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"788",788,"Ganjil 2011","93","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"789",789,"Genap 2010","95","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"790",790,"Ganjil 2010","92","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"791",791,"Genap 2009","82","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"792",792,"Ganjil 2009","68","Universitas Krisnadwipayana","Teknik Sipil","Aktif","23 Februari 1981"
"793",793,"Ganjil 2017","242","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"794",794,"Genap 2016","241","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"795",795,"Ganjil 2016","268","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"796",796,"Genap 2015","309","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"797",797,"Ganjil 2015","315","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"798",798,"Genap 2014","229","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"799",799,"Ganjil 2014","235","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"800",800,"Genap 2013","194","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"801",801,"Ganjil 2013","194","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"802",802,"Genap 2012","133","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"803",803,"Ganjil 2012","99","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"804",804,"Genap 2011","60","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"805",805,"Ganjil 2011","64","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"806",806,"Genap 2010","51","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"807",807,"Ganjil 2010","56","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"808",808,"Genap 2009","54","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"809",809,"Ganjil 2009","57","Universitas Krisnadwipayana","Teknik Elektro","Aktif","21 April 1982"
"810",810,"Ganjil 2017","123","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"811",811,"Genap 2016","136","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"812",812,"Ganjil 2016","148","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"813",813,"Genap 2015","194","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"814",814,"Ganjil 2015","200","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"815",815,"Genap 2014","156","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"816",816,"Ganjil 2014","159","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"817",817,"Genap 2013","136","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"818",818,"Ganjil 2013","130","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"819",819,"Genap 2012","135","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"820",820,"Ganjil 2012","108","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"821",821,"Genap 2011","70","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"822",822,"Ganjil 2011","63","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"823",823,"Genap 2010","66","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"824",824,"Ganjil 2010","69","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"825",825,"Genap 2009","60","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"826",826,"Ganjil 2009","57","Universitas Krisnadwipayana","Perencanaan Wilayah Dan Kota","Aktif","1 April 1952"
"827",827,"Ganjil 2017","452","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"828",828,"Genap 2016","449","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"829",829,"Ganjil 2016","464","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"830",830,"Genap 2015","628","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"831",831,"Ganjil 2015","639","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"832",832,"Genap 2014","545","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"833",833,"Ganjil 2014","531","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"834",834,"Genap 2013","393","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"835",835,"Ganjil 2013","349","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"836",836,"Genap 2012","228","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"837",837,"Ganjil 2012","219","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"838",838,"Genap 2011","155","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"839",839,"Ganjil 2011","156","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"840",840,"Genap 2010","136","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"841",841,"Ganjil 2010","141","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"842",842,"Genap 2009","138","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"843",843,"Ganjil 2009","142","Universitas Krisnadwipayana","Teknik Informatika","Aktif","8 Agustus 2005"
"844",844,"Ganjil 2017","463","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"845",845,"Genap 2016","468","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"846",846,"Ganjil 2016","550","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"847",847,"Genap 2015","405","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"848",848,"Ganjil 2015","402","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"849",849,"Genap 2014","329","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"850",850,"Ganjil 2014","361","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"851",851,"Genap 2013","332","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"852",852,"Ganjil 2013","275","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"853",853,"Genap 2012","204","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"854",854,"Ganjil 2012","253","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"855",855,"Genap 2011","295","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"856",856,"Ganjil 2011","279","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"857",857,"Genap 2010","262","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"858",858,"Ganjil 2010","247","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"859",859,"Genap 2009","208","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"860",860,"Ganjil 2009","210","Universitas Krisnadwipayana","Ilmu Administrasi Negara","Aktif","20 September 1956"
"861",861,"Ganjil 2017","849","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"862",862,"Genap 2016","1225","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"863",863,"Ganjil 2016","1220","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"864",864,"Genap 2015","12","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"865",865,"Genap 2015","887","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"866",866,"Ganjil 2015","1569","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"867",867,"Genap 2014","1222","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"868",868,"Ganjil 2014","1365","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"869",869,"Genap 2013","1197","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"870",870,"Ganjil 2013","1250","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"871",871,"Genap 2012","1093","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"872",872,"Ganjil 2012","1293","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"873",873,"Genap 2011","1110","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"874",874,"Ganjil 2011","1201","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"875",875,"Genap 2010","1063","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"876",876,"Ganjil 2010","1107","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"877",877,"Genap 2009","962","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"878",878,"Ganjil 2009","976","Universitas Krisnadwipayana","Ilmu Hukum","Aktif","1 April 1952"
"879",879,"Ganjil 2017","840","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"880",880,"Genap 2016","989","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"881",881,"Ganjil 2016","1122","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"882",882,"Genap 2015","938","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"883",883,"Ganjil 2015","997","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"884",884,"Genap 2014","617","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"885",885,"Ganjil 2014","826","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"886",886,"Genap 2013","595","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"887",887,"Ganjil 2013","520","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"888",888,"Genap 2012","412","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"889",889,"Ganjil 2012","378","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"890",890,"Genap 2011","284","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"891",891,"Ganjil 2011","276","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"892",892,"Genap 2010","205","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"893",893,"Ganjil 2010","216","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"894",894,"Genap 2009","199","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"895",895,"Ganjil 2009","221","Universitas Krisnadwipayana","Akuntansi","Aktif","20 Juni 1995"
"896",896,"Genap 2017","39","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"897",897,"Ganjil 2017","263","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"898",898,"Genap 2016","358","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"899",899,"Ganjil 2016","331","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"900",900,"Genap 2015","398","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"901",901,"Ganjil 2015","321","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"902",902,"Genap 2014","287","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"903",903,"Ganjil 2014","570","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"904",904,"Genap 2013","555","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"905",905,"Ganjil 2013","584","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"906",906,"Genap 2012","602","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"907",907,"Ganjil 2012","625","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"908",908,"Genap 2011","664","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"909",909,"Ganjil 2011","565","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"910",910,"Genap 2010","507","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"911",911,"Ganjil 2010","421","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"912",912,"Genap 2009","393","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"913",913,"Ganjil 2009","317","Universitas Krisnadwipayana","Ilmu Administrasi","Aktif","14 Agustus 1998"
"914",914,"Ganjil 2017","327","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"915",915,"Genap 2016","288","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"916",916,"Ganjil 2016","299","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"917",917,"Genap 2015","342","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"918",918,"Ganjil 2015","345","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"919",919,"Genap 2014","216","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"920",920,"Ganjil 2014","214","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"921",921,"Genap 2013","144","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"922",922,"Ganjil 2013","119","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"923",923,"Genap 2012","67","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"924",924,"Ganjil 2012","57","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"925",925,"Genap 2011","37","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"926",926,"Ganjil 2011","47","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"927",927,"Genap 2010","40","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"928",928,"Ganjil 2010","45","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"929",929,"Genap 2009","42","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"930",930,"Ganjil 2009","46","Universitas Krisnadwipayana","Teknik Industri","Aktif","21 April 1982"
"931",931,"Ganjil 2017","212","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"932",932,"Genap 2016","187","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"933",933,"Ganjil 2016","188","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"934",934,"Genap 2015","145","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"935",935,"Ganjil 2015","188","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"936",936,"Genap 2014","141","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"937",937,"Ganjil 2014","156","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"938",938,"Genap 2013","122","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"939",939,"Ganjil 2013","128","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"940",940,"Genap 2012","101","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"941",941,"Ganjil 2012","91","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"942",942,"Genap 2011","72","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"943",943,"Ganjil 2011","72","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"944",944,"Genap 2010","71","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"945",945,"Ganjil 2010","70","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"946",946,"Genap 2009","71","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"947",947,"Ganjil 2009","69","Universitas Krisnadwipayana","Arsitektur","Aktif","21 April 1982"
"948",948,"Ganjil 2017","300","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"949",949,"Genap 2016","489","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"950",950,"Ganjil 2016","498","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"951",951,"Genap 2015","445","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"952",952,"Ganjil 2015","682","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"953",953,"Genap 2014","807","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"954",954,"Ganjil 2014","779","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"955",955,"Genap 2013","758","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"956",956,"Ganjil 2013","725","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"957",957,"Genap 2012","791","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"958",958,"Ganjil 2012","757","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"959",959,"Genap 2011","695","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"960",960,"Ganjil 2011","800","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"961",961,"Genap 2010","945","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"962",962,"Ganjil 2010","766","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"963",963,"Genap 2009","777","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"964",964,"Ganjil 2009","807","Universitas Krisnadwipayana","Manajemen","Aktif","23 Juli 1993"
"965",965,"Ganjil 2017","2121","Universitas Krisnadwipayana","Manajemen","Aktif","1 Juli 1952"
"966",966,"Genap 2016","1980","Universitas Krisnadwipayana","Manajemen","Aktif","1 Juli 1952"
"967",967,"Ganjil 2016","2040","Universitas Krisnadwipayana","Manajemen","Aktif","1 Juli 1952"
"968",968,"Genap 2015","2276","Universitas Krisnadwipayana","Manajemen","Aktif","1 Juli 1952"
"969",969,"Ganjil 2015","2481","Universitas Krisnadwipayana","Manajemen","Aktif","1 Juli 1952"
"970",970,"Genap 2014","2218","Universitas Krisnadwipayana","Manajemen","Aktif","1 Juli 1952"
"971",971,"Ganjil 2014","2349","Universitas Krisnadwipayana","Manajemen","Aktif","1 Juli 1952"
"972",972,"Genap 2013","1963","Universitas Krisnadwipayana","Manajemen","Aktif","1 Juli 1952"
"973",973,"Ganjil 2013","1952","Universitas Krisnadwipayana","Manajemen","Aktif","1 Juli 1952"
"974",974,"Genap 2012","1941","Universitas Krisnadwipayana","Manajemen","Aktif","1 Juli 1952"
"975",975,"Ganjil 2012","1997","Universitas Krisnadwipayana","Manajemen","Aktif","1 Juli 1952"
"976",976,"Genap 2011","1467","Universitas Krisnadwipayana","Manajemen","Aktif","1 Juli 1952"
